"gid","x","y","text"
272,-122.305344559025,37.9174164232512,"POINT(-122.305344559025 37.9174164232512)"
273,-121.078665412369,38.6882219530102,"POINT(-121.078665412369 38.6882219530102)"
274,-121.382154526115,38.4382194112719,"POINT(-121.382154526115 38.4382194112719)"
275,-118.027604442441,34.073265054643,"POINT(-118.027604442441 34.073265054643)"
276,-120.678225980378,35.6269885104435,"POINT(-120.678225980378 35.6269885104435)"
277,-118.406362280201,33.9213000283105,"POINT(-118.406362280201 33.9213000283105)"
278,-122.296196133031,37.9685278826345,"POINT(-122.296196133031 37.9685278826345)"
279,-117.271786045481,33.0444316748483,"POINT(-117.271786045481 33.0444316748483)"
280,-117.080936021512,33.1247845305744,"POINT(-117.080936021512 33.1247845305744)"
281,-124.163116211262,40.7900481101981,"POINT(-124.163116211262 40.7900481101981)"
282,-122.054539824177,38.2577586096625,"POINT(-122.054539824177 38.2577586096625)"
283,-121.259495383972,38.651252723273,"POINT(-121.259495383972 38.651252723273)"
284,-117.236214833162,33.3716814487179,"POINT(-117.236214833162 33.3716814487179)"
285,-118.917897807963,34.4012621532227,"POINT(-118.917897807963 34.4012621532227)"
286,-118.244003362612,33.9693518882603,"POINT(-118.244003362612 33.9693518882603)"
287,-121.411092164478,38.4901547149578,"POINT(-121.411092164478 38.4901547149578)"
288,-121.158047589011,38.6721258558969,"POINT(-121.158047589011 38.6721258558969)"
289,-117.458315806376,34.0977351452261,"POINT(-117.458315806376 34.0977351452261)"
290,-121.348016271932,38.6817348900531,"POINT(-121.348016271932 38.6817348900531)"
291,-117.664383374861,33.6885135389323,"POINT(-117.664383374861 33.6885135389323)"
292,-124.146475300861,40.5867656443584,"POINT(-124.146475300861 40.5867656443584)"
293,-122.266705445418,37.5512743232741,"POINT(-122.266705445418 37.5512743232741)"
294,-117.956407673821,33.7086064219612,"POINT(-117.956407673821 33.7086064219612)"
295,-121.983084634724,37.5429330986624,"POINT(-121.983084634724 37.5429330986624)"
296,-119.792279952919,36.7815408458259,"POINT(-119.792279952919 36.7815408458259)"
297,-117.92885980824,33.8799029606816,"POINT(-117.92885980824 33.8799029606816)"
298,-121.303350594944,38.260838388923,"POINT(-121.303350594944 38.260838388923)"
299,-118.307966375429,33.8936023949659,"POINT(-118.307966375429 33.8936023949659)"
300,-117.960379474364,33.7787545815077,"POINT(-117.960379474364 33.7787545815077)"
301,-121.580359031619,37.0120353700225,"POINT(-121.580359031619 37.0120353700225)"
302,-117.49195022989,34.0173038680704,"POINT(-117.49195022989 34.0173038680704)"
303,-118.25020243564,34.1709274172192,"POINT(-118.25020243564 34.1709274172192)"
304,-117.854233849431,34.1309468538513,"POINT(-117.854233849431 34.1309468538513)"
305,-119.813804586578,34.4404743773598,"POINT(-119.813804586578 34.4404743773598)"
306,-117.316772729164,34.0310104633702,"POINT(-117.316772729164 34.0310104633702)"
307,-121.180002138729,38.7485032799296,"POINT(-121.180002138729 38.7485032799296)"
308,-121.058605051035,39.2192167370238,"POINT(-121.058605051035 39.2192167370238)"
309,-121.244985666425,36.3231399465517,"POINT(-121.244985666425 36.3231399465517)"
310,-120.619770597846,35.1209138297046,"POINT(-120.619770597846 35.1209138297046)"
311,-117.969545680327,34.00056709942,"POINT(-117.969545680327 34.00056709942)"
312,-122.437190343511,37.4588279222726,"POINT(-122.437190343511 37.4588279222726)"
313,-119.647054389639,36.3332634468998,"POINT(-119.647054389639 36.3332634468998)"
314,-118.073762486017,33.8285532365857,"POINT(-118.073762486017 33.8285532365857)"
